season,episode_number,title,airdate,rating,total_votes,desc
1,1,A Walk in the Woods,1/11/1983,9.2,54,"Bob Ross introduces us to his ""Almighty"" assortment of tools and colors, tells us that anyone can paint, and creates a landscape of a forest path just after a rain shower."
1,2,Mt. McKinley,1/11/1983,9.5,43,Bob paints Alaska's Mt. McKinley framed by a peaceful lake and trees.
1,3,Ebony Sunset,1/18/1983,9.3,33,Bob uses a black canvas to easily paint a forest at sunset.
1,4,Winter Mist,1/25/1983,9.2,29,Bob paints an almighty winter picture and shows us how to make big fluffy happy clouds.
1,5,Quiet Stream,2/1/1983,9,25,Bob paints on a Sap Green canvas and makes an almighty stream in the middle of a jungle.
1,6,Winter Moon,2/8/1983,9.5,23,Another Cold painting from the heart of Alaska and this time Bob uses a black canvas.
1,7,Autumn Mountains,2/15/1983,9.4,21,An almighty painting of mountains and clouds. Bob shows us how to paint fluffy clouds in front of mountains.
1,8,Peaceful Valley,2/22/1983,9.5,21,Bob paints several ranges of mountains and talks about the illusion of distance in a painting.
1,9,Seascape,3/1/1983,9.2,22,Bob paints a clam mood painting this time and shows how to reflect lights through the clouds.
1,10,Mountain Lake,3/8/1983,9.6,20,Bob paints a ridge of mountains coming down into a beautiful little lake. Almighty as always.
1,11,Winter Glow,3/15/1983,9.6,20,An almighty winter painting. Bob paints sunshine in the winter and comes up with a beautiful cold landscape.
1,12,Snow Fall,3/22/1983,9.5,21,This episode emphasizes on snow. Bob shows us how to paint snow and make it falling in the painting.
1,13,Final Reflections,3/29/1983,9.6,24,"Bob answers some questions about the wet-on-wet technique and comes up with an ""almighty"" painting as always."
2,1,Meadow Lake,8/31/1983,9.4,23,Glide into this scenic world of green trees and bushes reflecting into calm waters. Bob Ross paints both gentle beauty and almighty power.
2,2,Winter Sun,9/7/1983,9.3,18,Find the glistening sun peeking through the trees in this wintery scene; Bob Ross creates a cold day warmed by daystar radiance.
2,3,Ebony Sea,9/14/1983,9.6,18,"As the night settles over a rocky coast, Bob Ross gives you a warm glow still in the sky - a painting achieved on black canvas."
2,4,Shades of Grey,9/21/1983,9.8,20,"Bob Ross mixes Prussian Blue and Van Dyke Brown, for a cold, grey and white painting. We are chilled by steep, snowy mountains, and tall evergreens are done with the ""almighty palette knife."" Watch for the burnt umber bonus at the end."
2,5,Autumn Splendor,9/28/1983,9.5,17,The fall breeze rustles in the trees as you rest your feet in crisp still waters. Discover the joys of nature in this Bob Ross painting.
2,6,Black River,10/5/1983,9.3,19,"In this painting Bob Ross emphasizes a slow river winding around colorful foliage, with the final embers of sunlight ahead."
2,7,Brown Mountain,10/12/1983,9.6,18,"Swim in the warm water, nap in the luxurious green grass - today Bob Ross creates a wonderful summer mountain scene."
2,8,Reflections,10/19/1983,9.2,20,Truly picture perfect. A bright day and still water combine to make amazing mirrored images throughout this Bob Ross mountain masterpiece.
2,9,Black and White Seascape,10/26/1983,9.4,18,An approaching storm and dramatic sky set the mood for this unique seascape. Bob Ross uses a canvas painted half black and half white.
2,10,Lazy River,11/2/1983,9.5,19,"Take a relaxing walk with Bob Ross through a bright green grassy forest, where a smooth crystal waterway flows so, so quietly."
2,11,Black Waterfall,11/9/1983,9.7,18,Hear the sounds of a bubbling stream and distant waterfall against the most tumultuous of all skies; a spectacular Bob Ross painting.
2,12,Mountain Waterfall,11/16/1983,9.3,19,Slip away into a wondrous plush green forest where Bob Ross creates an almost invisible mountain overlooking a falling stream.
2,13,Final Grace,11/23/1983,9.5,17,Beautiful foliage and fierce skies with an almighty mountain overlooking a calm lake. Watch Bob Ross paint this challenging scene.
3,1,Mountain Retreat,1/4/1984,9.3,20,"Bob Ross paints a beautiful summer getaway with rugged brown peaks, clear blue waters and a cozy little cabin too."
3,2,Blue Moon,1/11/1984,9.2,19,"Breathtaking skies, bending palms and waves that accentuate the cool night breeze. A one-of-a-kind masterpiece by Bob Ross."
3,3,Bubbling Stream,1/18/1984,9.6,18,In the midst of the forest flows a stream that splashes and trickles endlessly along - Bob Ross depicts the true beauty of nature.
3,4,Winter Night,1/25/1984,9.2,20,Bob Ross captures the stillness of cold darkness and rests a cozy little cabin atop a snow covered hill - a real black canvas favorite.
3,5,Distant Hills,2/1/1984,9.4,17,"Far, far away there rests a mountain nestled in misty clouds and foothills. Bob Ross creates a scene using soft, brilliant colors."
3,6,Covered Bridge,2/8/1984,9.3,17,Enjoy this Bob Ross scene that includes luxurious green foliage and an old weathered trestle-bridge placed lovingly among-st all the beauty.
3,7,Quiet Inlet,2/15/1984,9.3,19,"Sneak away into the sounds of quiet waters, velvety green shrubs and distance foothills. Bob Ross creates a perfect scene of relaxation."
3,8,Night Light,2/22/1984,9.4,16,"Starting with a black acrylic, Bob Ross reproduces the painting that opens the episodes of Season Three. Under soft, moon glow, angry waves break around a lonely lighthouse, that pierces the darkness with spectacular brilliance."
3,9,The Old Mill,2/29/1984,9.6,17,"An early, Bob Ross painting using magic white, umber, and permanent red. A weathered, water wheel, and a happy little stream are surrounded by sparkling, yellow foliage."
3,10,Campfire,3/7/1984,9.6,20,"In this one-of-a-kind masterpiece, Bob Ross paints a vibrant golden red glow, complete with cowboy restin' a while by the cracklin' flames."
3,11,Rustic Barn,3/14/1984,9.7,15,A beautiful fall scene -- Bob Ross uses the colors of nature to settle an old worn-down farm building into soft golden grassy bushes and trees.
3,12,Hidden Lake,3/21/1984,9.8,15,"Beneath a soft purple mountain range, lots of trees and bushes surround a secret little lake, as only Bob Ross can create on canvas."
